Compound,Gradient,Abundance A,Abundance B
"Cyclohexene, 1-methyl-5-(1-methylethenyl)-",24.59,13.98,38.57
"Cyclohexene, 1-methyl-5-(1-methylethenyl)-, (R)-",24.59,13.98,38.57
D-Limonene,24.59,13.98,38.57
2-Chloro-benzotrifluoride,19.7,0.37,20.07
3-Chlorobenzotrifluoride,19.7,0.37,20.07
"Benzene, 1-chloro-4-(trifluoromethyl)-",19.7,0.37,20.07
Acetone,14.67,18.72,33.39
"Oxirane, methyl-, (S)-",14.67,18.72,33.39
Propylene oxide,14.67,18.72,33.39
"Pentafluoropropionic acid, 2-ethylhexyl ester",3.16,0,3.16
"2-Propanol, 1-hydrazino-",3.14,0,3.14
2-Propyl-1-pentanol,2.83,0.33,3.16
"1-Hexanol, 2-ethyl-",2.83,0.33,3.16
o-Isopropenyltoluene,2.3,0,2.3
"2H-Pyran-2-one, tetrahydro-6,6-dimethyl-",2.06,0,2.06
"1-Propene, 2-methyl-",2.06,0,2.06
Propane,2.06,0,2.06
"Bicyclo[3.1.0]hexane, 4-methylene-1-(1-methylethyl)-",1.82,0,1.82
Ã¡-Pinene,1.69,0.13,1.82
4-Ethoxybenzhydrazide,1.64,0,1.64
"Benzoic acid, 4-ethoxy-, ethyl ester",1.64,0,1.64
Ethylparaben,1.64,0,1.64
"Acetic acid, butoxyhydroxy-, butyl ester",1.48,0,1.48
"1,3,5-Cycloheptatriene",1.44,0.9,2.35
"Cyclobutene, 2-propenylidene-",1.44,0.9,2.35
Toluene,1.44,0.9,2.35
"Benzene, 1-methyl-4-(1-methylethenyl)-",1.36,0.93,2.3
"Benzene, 4-ethenyl-1,2-dimethyl-",1.36,0.93,2.3
"Benzaldehyde, 2,4-dimethyl-",1.26,0,1.26
"Benzaldehyde, 3,4-dimethyl-",1.26,0,1.26
"4-Ethylbenzoic acid, 2-ethylhexyl ester",1.26,0,1.26
"3-Nonen-1-ol, (E)-",1.18,0,1.18
"3-Nonen-1-ol, (Z)-",1.18,0,1.18
"Decane, 2,5-dimethyl-",1.12,0,1.12
"6,7-Dimethyl-3H-isobenzofuran-1-one",1.08,0,1.08
"Benzeneacetaldehyde, Ã ,2,5-trimethyl-",1.08,0,1.08
"Benzene, 2,4-dimethyl-1-(1-methylpropyl)-",1.08,0,1.08
4-(6-Methoxy-3-methyl-2-benzofuranyl)-3-buten-2-one,1.08,0,1.08
"Indan, 6-tert-butyl-4-ethyl-1,1-dimethyl-",1.08,0,1.08
Hexadecane,1.08,0.04,1.12
"Octane, 2,3-dimethyl-",1.07,0.04,1.12
"Pentafluoropropionic acid, pentadecyl ester",0.96,0,0.96
"3-Octadecene, (E)-",0.96,0,0.96
"Dodecane, 2,6,10-trimethyl-",0.94,0.08,1.03
"1-Nonene, 4,6,8-trimethyl-",0.94,0,0.94
Nonanal,0.9,0.27,1.18
Cyclodecanol,0.9,0,0.9
"1-Octanol, 2-butyl-",0.9,0.04,0.94
"Oxalic acid, isobutyl pentyl ester",0.87,0,0.87
"Propane, 2-methyl-1-nitro-",0.87,0,0.87
3-Methylheptyl acetate,0.87,0,0.87
4-(Prop-2-enoyloxy)octane,0.87,0,0.87
"Acetic acid, 2-ethylhexyl ester",0.87,0,0.87
"Octane, 2-chloro-",0.83,0,0.83
"Cyclobutane, butyl-",0.83,0,0.83
"Undecane, 2,6-dimethyl-",0.81,0.1,0.91
"Benzo[b]naphtho[2,3-d]thiophene, 9,10-dihydro-7-meth",0.81,0,0.81
"2-(3,5-Dichloro-4-methoxymethylphenyl)propan-2-ol",0.81,0,0.81
"Decane, 5-methyl-",0.81,0,0.81
"Nonane, 2,5-dimethyl-",0.81,0,0.81
"Cyclohexane, 1,4-dimethyl-2-octadecyl-",0.81,0,0.81
"2,5-di-tert-Butyl-1,4-benzoquinone",0.8,0,0.8
"Heptane, 2,4,6-trimethyl-",0.8,0.22,1.02
"Octane, 2,3,6,7-tetramethyl-",0.79,0,0.79
"Undecane, 4-methyl-",0.79,0,0.79
"Undecane, 4,8-dimethyl-",0.78,0.12,0.9
"9-Hexadecenoic acid, tetradecyl ester, (Z)-",0.78,0.03,0.81
Hexane,0.75,0.72,1.48
"Pentane, 3-methyl-",0.75,0.72,1.48
"Cyclopropane, pentyl-",0.75,0.08,0.83
Heptane,0.75,0.28,1.02
"Undecane, 4-ethyl-",0.75,0,0.75
"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)",0.75,0.06,0.8
2-Decen-1-ol,0.75,0.15,0.9
Decanal,0.75,0.15,0.9
"Octane, 3,6-dimethyl-",0.74,0.09,0.83
"2-Pentene, 3,4-dimethyl-, (E)-",0.74,0,0.74
Dodecane,0.72,0.19,0.91
"Benzene, 1-methyl-4-(1-methylethyl)-",0.72,0.32,1.04
"Benzene, 1-methyl-2-(1-methylethyl)-",0.72,0.32,1.04
"Benzene, 1-methyl-3-(1-methylethyl)-",0.72,0.32,1.04
"Pentane, 2,3-dimethyl-",0.71,0.31,1.02
"Nonane, 5-(2-methylpropyl)-",0.71,0,0.71
"1,4-Dichloro-2-fluorobenzene",0.71,0,0.71
"Hexane, 3-methyl-",0.68,0.31,0.99
"Octane, 2,6,6-trimethyl-",0.67,0.04,0.71
"Pentanal, 2-methyl-",0.67,0,0.67
2-Vinylethyl acetate,0.67,0,0.67
"Benzeneethanol, Ã ,Ã¡-dimethyl-",0.66,0,0.66
